BAIRRO,BAIRRONR,ZONE,TABZ,;;;;;;;BAIRRO;BAIRRONR;ZONE;TABZ;;;
Bandim I,1,Zona 1,11,;;;;;;;Bandim I;1;Zona 1;11;;;
Bandim I,1,Zona 2,12,;;;;;;;Bandim I;1;Zona 2;12;;;
Bandim I,1,Zona 3,13,;;;;;;;Bandim I;1;Zona 3;13;;;
Bandim I,1,Zona 4,14,;;;;;;;Bandim I;1;Zona 4;14;;;
Bandim I,1,Zona 5,15,;;;;;;;Bandim I;1;Zona 5;15;;;
Bandim I,1,Zona 6,16,;;;;;;;Bandim I;1;Zona 6;16;;;
Bandim I,1,Zona 7,17,;;;;;;;Bandim I;1;Zona 7;17;;;
Bandim I,1,Zona 8,18,;;;;;;;Bandim I;1;Zona 8;18;;;
Bandim I,1,Zona 9,19,;;;;;;;Bandim I;1;Zona 9;19;;;
Bandim I,1,Não sabe,177,;;;;;;;Bandim I;1;Não sabe;177;;;
Bandim II,2,Zona 1,21,;;;;;;;Bandim II;2;Zona 1;21;;;
Bandim II,2,Zona 2,22,;;;;;;;Bandim II;2;Zona 2;22;;;
Bandim II,2,Zona 3,23,;;;;;;;Bandim II;2;Zona 3;23;;;
Bandim II,2,Zona 4,24,;;;;;;;Bandim II;2;Zona 4;24;;;
Bandim II,2,Zona 5,25,;;;;;;;Bandim II;2;Zona 5;25;;;
Bandim II,2,Zona 6,26,;;;;;;;Bandim II;2;Zona 6;26;;;
Bandim II,2,Zona 7,27,;;;;;;;Bandim II;2;Zona 7;27;;;
Bandim II,2,Zona 8,28,;;;;;;;Bandim II;2;Zona 8;28;;;
Bandim II,2,Não sabe,277,;;;;;;;Bandim II;2;Não sabe;277;;;
Belem,3,Zona 1,31,;;;;;;;Belem;3;Zona 1;31;;;
Belem,3,Zona 2,32,;;;;;;;Belem;3;Zona 2;32;;;
Belem,3,Zona 3,33,;;;;;;;Belem;3;Zona 3;33;;;
Belem,3,Zona 4,34,;;;;;;;Belem;3;Zona 4;34;;;
Belem,3,Zona 5,35,;;;;;;;Belem;3;Zona 5;35;;;
Belem,3,Não sabe,377,;;;;;;;Belem;3;Não sabe;377;;;
Mindara,4,Zona 2,42,;;;;;;;Mindara;4;Zona 2;42;;;
Mindara,4,Zona 3,43,;;;;;;;Mindara;4;Zona 3;43;;;
Mindara,4,Zona 4,44,;;;;;;;Mindara;4;Zona 4;44;;;
Mindara,4,Não sabe,477,;;;;;;;Mindara;4;Não sabe;477;;;
Cuntum I,7,Zona 1,71,;;;;;;;Cuntum I;7;Zona 1;71;;;
Cuntum I,7,Zona 2,72,;;;;;;;Cuntum I;7;Zona 2;72;;;
Cuntum I,7,Zona 3,73,;;;;;;;Cuntum I;7;Zona 3;73;;;
Cuntum I,7,Zona 4,74,;;;;;;;Cuntum I;7;Zona 4;74;;;
Cuntum I,7,Zona 5,75,;;;;;;;Cuntum I;7;Zona 5;75;;;
Cuntum I,7,Zona 6,76,;;;;;;;Cuntum I;7;Zona 6;76;;;
Cuntum I,7,Zona 7,77,;;;;;;;Cuntum I;7;Zona 7;77;;;
Cuntum I,7,Zona 8,78,;;;;;;;Cuntum I;7;Zona 8;78;;;
Cuntum I,7,Zona 9,79,;;;;;;;Cuntum I;7;Zona 9;79;;;
Cuntum I,7,Não sabe,777,;;;;;;;Cuntum I;7;Não sabe;777;;;
Cuntum II,9,Zona 2,92,;;;;;;;Cuntum II;9;Zona 2;92;;;
Cuntum II,9,Zona 3,93,;;;;;;;Cuntum II;9;Zona 3;93;;;
Cuntum II,9,Zona 4,94,;;;;;;;Cuntum II;9;Zona 4;94;;;
Cuntum II,9,Não sabe,977,;;;;;;;Cuntum II;9;Não sabe;977;;;
Não mora na área do projeto,77,Aeroporto,54,;;;;;;;Não mora na área do projeto;77;Aeroporto;54;;;OBS: Alphabetical order
Não mora na área do projeto,77,Alto Bandim,86,;;;;;;;Não mora na área do projeto;77;Alto Bandim;86;;;
Não mora na área do projeto,77,Amedalai,81,;;;;;;;Não mora na área do projeto;77;Amedalai;81;;;
Não mora na área do projeto,77,Antula,106,;;;;;;;Não mora na área do projeto;77;Antula;106;;;
Não mora na área do projeto,77,Bairro de Ajuda II Fase,62,;;;;;;;Não mora na área do projeto;77;Bairro de Ajuda II Fase;62;;;
Não mora na área do projeto,77,Bairro Internacional,88,;;;;;;;Não mora na área do projeto;77;Bairro Internacional;88;;;
Não mora na área do projeto,77,Bairro Militar,51,;;;;;;;Não mora na área do projeto;77;Bairro Militar;51;;;
Não mora na área do projeto,77,Bissau-Velho,82,;;;;;;;Não mora na área do projeto;77;Bissau-Velho;82;;;
Não mora na área do projeto,77,Bra,60,;;;;;;;Não mora na área do projeto;77;Bra;60;;;
Não mora na área do projeto,77,Calikir,102,;;;;;;;Não mora na área do projeto;77;Calikir;102;;;
Não mora na área do projeto,77,Cháo de Pepel,104,;;;;;;;Não mora na área do projeto;77;Cháo de Pepel;104;;;
Não mora na área do projeto,77,Cupelum,89,;;;;;;;Não mora na área do projeto;77;Cupelum;89;;;
Não mora na área do projeto,77,Cupul,100,;;;;;;;Não mora na área do projeto;77;Cupul;100;;;
Não mora na área do projeto,77,Djoló,53,;;;;;;;Não mora na área do projeto;77;Djoló;53;;;
Não mora na área do projeto,77,Enterramento,107,;;;;;;;Não mora na área do projeto;77;Enterramento;107;;;
Não mora na área do projeto,77,Gabusinho,58,;;;;;;;Não mora na área do projeto;77;Gabusinho;58;;;
Não mora na área do projeto,77,Granja-Pessube,69,;;;;;;;Não mora na área do projeto;77;Granja-Pessube;69;;;
Não mora na área do projeto,77,Hafia,56,;;;;;;;Não mora na área do projeto;77;Hafia;56;;;
Não mora na área do projeto,77,Lala Quema,83,;;;;;;;Não mora na área do projeto;77;Lala Quema;83;;;
Não mora na área do projeto,77,Luanda,67,;;;;;;;Não mora na área do projeto;77;Luanda;67;;;
Não mora na área do projeto,77,Madina,64,;;;;;;;Não mora na área do projeto;77;Madina;64;;;
Não mora na área do projeto,77,Missira,63,;;;;;;;Não mora na área do projeto;77;Missira;63;;;
Não mora na área do projeto,77,Mpantche,65,;;;;;;;Não mora na área do projeto;77;Mpantche;65;;;
Não mora na área do projeto,77,Pefine,80,;;;;;;;Não mora na área do projeto;77;Pefine;80;;;
Não mora na área do projeto,77,Penha-Bor,57,;;;;;;;Não mora na área do projeto;77;Penha-Bor;57;;;
Não mora na área do projeto,77,Pessack,101,;;;;;;;Não mora na área do projeto;77;Pessack;101;;;
Não mora na área do projeto,77,Plack II,55,;;;;;;;Não mora na área do projeto;77;Plack II;55;;;
Não mora na área do projeto,77,Plano,87,;;;;;;;Não mora na área do projeto;77;Plano;87;;;
Não mora na área do projeto,77,Pluba (Coco),66,;;;;;;;Não mora na área do projeto;77;Pluba (Coco);66;;;
Não mora na área do projeto,77,Quelélé,61,;;;;;;;Não mora na área do projeto;77;Quelélé;61;;;
Não mora na área do projeto,77,Reno,105,;;;;;;;Não mora na área do projeto;77;Reno;105;;;
Não mora na área do projeto,77,Rossio,68,;;;;;;;Não mora na área do projeto;77;Rossio;68;;;
Não mora na área do projeto,77,Santa Clara,59,;;;;;;;Não mora na área do projeto;77;Santa Clara;59;;;
Não mora na área do projeto,77,Santa Lúcia,103,;;;;;;;Não mora na área do projeto;77;Santa Lúcia;103;;;
Não mora na área do projeto,77,Sao Paulo,52,;;;;;;;Não mora na área do projeto;77;Sao Paulo;52;;;
Não mora na área do projeto,77,Sintra,85,;;;;;;;Não mora na área do projeto;77;Sintra;85;;;
Não mora na área do projeto,77,Tchada,84,;;;;;;;Não mora na área do projeto;77;Tchada;84;;;
Não mora na área do projeto,77,Outro bairro,7777,;;;;;;;Não mora na área do projeto;77;Outro bairro;7777;;;
